Title,Link,Source,Summary,Date
Posunutí začátku aukce kmitočtů 5G je problém. Stát nemusí dostat miliardy,https://www.idnes.cz/mobil/mobilni-operatori/aukce-5g-posun-zacatek-ctu-novak.A191219_224033_mobilni-operatori_jm,"idnes.cz, 20. prosince 2019","Ministr průmyslu a obchodu Karel Havlíček (za ANO) v minulých dnech připustil možnost odkladu aukce kvůli úpravě podmínek, aby více lákaly ke vstupu na trh případného čtvrtého mobilního operátora. Šéf úřadu Jaromír Novák se však obává, že posunutím začátku aukce se nepodaří získat peníze do konce příštího roku. „Příjem z aukce je ale závazný ukazatel v rámci státního rozpočtu na rok 2020. V případě, že by aukce začala v květnu, nejde podle mě zaručit, že stát získá výnos z aukce do konce roku. ČTÚ by tedy nesplnil rozpočtová pravidla a nenaplnil by příjem, což má velké důsledky do fungování ČTÚ. To by byl problém,“ řekl Novák.",01.12.2019
Kmitočty Jaromíra Nováka: Mít hodně virtuálních operátorů nestačí,https://www.lupa.cz/clanky/kmitocty-jaromira-novaka-mit-hodne-virtualnich-operatoru-nestaci/,"Lupa.cz, 13. listopadu 2019","V současné době (dle posledních dat ke konci roku 2018) Úřad nominálně eviduje 140 virtuálů – z nichž 3 jsou majetkově propojeni s MNO. Tržní podíl podle celkového počtu SIM karet majetkově propojených MVNO činí ale 3,49 % a tržní podíl nezávislých MVNO činí 3,23 %.",01.12.2019
Ještě silnější adept na čtvrtého operátora? Nordic Telecom prý jedná se Sazkou,https://www.mobilmania.cz/clanky/jeste-silnejsi-adept-na-ctvrteho-operatora-nordic-telecom-pry-jedna-se-sazkou/sc-3-a-1347059/default.aspx,"iDnes.cz, 24. srpna 2019",Nordic Telecom je už teď považován za nejvážnějšího uchazeče o dražené frekvence. Sazka Mobil je dlouhodobě největší český virtuální operátor nezávislý na některém z velkých síťových operátorů. Má tedy cenné know-how a skupina KKCG může do aliance přinést další kapitál.,01.12.2019
Test nejlevnějších neomezených dat. Je omezení rychlosti problém?,https://www.idnes.cz/mobil/mobilni-operatori/porovnani-neomezene-tarify-operatoru-neomezena-data.A191126_104235_mobilni-operatori_oma,"iDnes.cz, 27. listopadu 2019","Když se řekne pojem „neomezená data“, většina z nás si pravděpodobně představí něco trochu jiného, než jak jej všeobecně vnímají tuzemští operátoři. Ačkoli se čeští zákazníci letos dočkali tarifů bez datového limitu, některé z nich určité omezení mají. Všichni tři operátoři totiž nabízí několik typů datově neomezených tarifů pro jednotlivce s poměrně odlišnými cenami.",01.12.2019
Z aukce 5G kmitočtů je neprůhledný zmatek. Ale je to tajné!,https://www.lupa.cz/clanky/z-aukce-5g-kmitoctu-je-nepruhledny-zmatek-ale-je-to-tajne/,"Lupa.cz, 28. ledna 2020","Podle ministra průmyslu a obchodu Karla Havlíčka totiž hrozí, že se do aukce přihlásí jen jeden zájemce, a navíc podle něj tajné služby vládě předložily informace o tom, že „průběh aukce vykazoval nestandardní prvky, které zpochybňují její nezávislost“. O co konkrétně jde, se veřejnost nedozví, vláda totiž o věci jednala v režimu „vyhrazené“.",28.01.2020
Vláda chce čtvrtého operátora. Aukce na 5G vykazovala nestandardní prvky,https://www.idnes.cz/mobil/mobilni-operatori/aukce-5g-odvolani-predseda-ctu-havlicek-novak-tovarkova.A200127_120745_mobilni-operatori_jm,"iDnes.cz, 27. ledna 2020","Aukce kmitočtů k sítím 5G by mohla být vyhlášena v květnu nebo červnu letošního roku, uvedl ministr průmyslu a obchodu Karel Havlíček (za ANO). Současně vláda odvolala předsedu ČTÚ a zároveň jmenovala novou předsedkyni rady Hanu Továrkovou.",27.01.2020
Rusňákova DRFG roste v telekomunikacích. Koupila slovenský Lukromtel,https://www.forbes.cz/rusnakova-drfg-roste-v-telekomunikacich-koupila-slovensky-lukromtel/,"Forbes, 22. ledna 2020","Brněnský investor David Rusňák a jeho společníci ze skupiny DRFG s novým rokem pokračují v budování telekomunikačního byznysu ve středoevropském regionu. Posledním úlovkem je slovenská společnost Lukromtel, specialista na instalaci telekomunikačních a datových zařízení a optických sítí.",22.01.2020
"Michal Čupa: Když dražbu kmitočtů zpackáme, budeme dalších deset let plakat",https://www.e15.cz/rozhovory/michal-cupa-kdyz-drazbu-kmitoctu-zpackame-budeme-dalsich-deset-let-plakat-1365951,"e15, 14. ledna 2020","Příchod čtvrtého operátora, nutnost splnit závazky z unie nebo zavedení 5G sítě i v nejodlehlejší vesnici. „Od aukce čeká každý něco jiného a i to je důsledek absence strategie,“ říká telekomunikační expert Michal Čupa.",14.01.2020
"Zákazníci největšího operátora se dočkají, O2 začne nabízet eSIM",https://channelworld.cz/novinky/zakaznici-nejvetsiho-operatora-se-dockaji-o2-zacne-nabizet-esim-24011,"ChannelWorld, 05. února 2020","Vestavěnou SIM kartu od O2 bude od února možné využívat v šesti modelech iPhonů, další zařízení budou podle operátora postupně přibývat. K aktivaci je potřeba do zařízení nahrát eSIM profil.",05.02.2020
"Elektromagnetické pole a záření z 5G vysílačů neškodí zdraví, dokazuje ministerstvo",https://www.lupa.cz/aktuality/elektromagneticke-pole-a-zareni-z-5g-vysilacu-neskodi-zdravi-dokazuje-ministerstvo/,"Lupa.cz, 04. února 2020","„Absolutní většina fyzikálních projevů expozice lidské tkáně elektromagnetickému poli není biologickým účinkem a už vůbec ne zdravotním účinkem. Dále pak platí, že zdaleka ne každý biologický účinek expozice elektromagnetickému pole má vliv na lidské zdraví. Mnohé biologické efekty jsou eliminovány fyziologickými procesy,“ uvádí mimo jiné materiál.",04.02.2020
