Title;Link;Source;Summary;Date 
Posunutí začátku aukce kmitočtů 5G je problém. Stát nemusí dostat miliardy;https://www.idnes.cz/mobil/mobilni-operatori/aukce-5g-posun-zacatek-ctu-novak.A191219_224033_mobilni-operatori_jm;idnes.cz, 20. prosince 2019;Ministr průmyslu a obchodu Karel Havlíček (za ANO) v minulých dnech připustil možnost odkladu aukce kvůli úpravě podmínek, aby více lákaly ke vstupu na trh případného čtvrtého mobilního operátora. Šéf úřadu Jaromír Novák se však obává, že posunutím začátku aukce se nepodaří získat peníze do konce příštího roku. „Příjem z aukce je ale závazný ukazatel v rámci státního rozpočtu na rok 2020. V případě, že by aukce začala v květnu, nejde podle mě zaručit, že stát získá výnos z aukce do konce roku. ČTÚ by tedy nesplnil rozpočtová pravidla a nenaplnil by příjem, což má velké důsledky do fungování ČTÚ. To by byl problém,“ řekl Novák.;05.12.2019
Kmitočty Jaromíra Nováka: Mít hodně virtuálních operátorů nestačí;https://www.lupa.cz/clanky/kmitocty-jaromira-novaka-mit-hodne-virtualnich-operatoru-nestaci/;Lupa.cz, 13. listopadu 2019;V současné době (dle posledních dat ke konci roku 2018) Úřad nominálně eviduje 140 virtuálů – z nichž 3 jsou majetkově propojeni s MNO. Tržní podíl podle celkového počtu SIM karet majetkově propojených MVNO činí ale 3,49 % a tržní podíl nezávislých MVNO činí 3,23 %.;12.12.2019
Ještě silnější adept na čtvrtého operátora? Nordic Telecom prý jedná se Sazkou;https://www.mobilmania.cz/clanky/jeste-silnejsi-adept-na-ctvrteho-operatora-nordic-telecom-pry-jedna-se-sazkou/sc-3-a-1347059/default.aspx;iDnes.cz, 24. srpna 2019;Nordic Telecom je už teď považován za nejvážnějšího uchazeče o dražené frekvence. Sazka Mobil je dlouhodobě největší český virtuální operátor nezávislý na některém z velkých síťových operátorů. Má tedy cenné know-how a skupina KKCG může do aliance přinést další kapitál.;13.12.2019
Test nejlevnějších neomezených dat. Je omezení rychlosti problém?;https://www.idnes.cz/mobil/mobilni-operatori/porovnani-neomezene-tarify-operatoru-neomezena-data.A191126_104235_mobilni-operatori_oma;iDnes.cz, 27. listopadu 2019;Když se řekne pojem „neomezená data“, většina z nás si pravděpodobně představí něco trochu jiného, než jak jej všeobecně vnímají tuzemští operátoři. Ačkoli se čeští zákazníci letos dočkali tarifů bez datového limitu, některé z nich určité omezení mají. Všichni tři operátoři totiž nabízí několik typů datově neomezených tarifů pro jednotlivce s poměrně odlišnými cenami.;24.12.2019
Name1;www.test.cz;test;Proste zkousim jestli to funguje;02.05.2020
